,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
160857,1370015,la michoacana,0.0,restaurant,60632.0,2013-10-28,41.81416061869724,-87.69453060572629,2013,Restaurant
160946,1151592,taqueria chile bravo,0.0,restaurant,60608.0,2013-09-03,41.85133736450854,-87.6783945206964,2013,Restaurant
164866,1360997,vinces pizzeria   taqueria  inc,0.0,restaurant,60660.0,2013-09-17,41.99798866563551,-87.66883580355905,2013,Restaurant
167296,1353232,italian pizza kitchen,0.0,restaurant,60642.0,2013-06-20,41.90734970710327,-87.64926041452054,2013,Restaurant
172446,1138820,la salle power co ,0.0,restaurant,60654.0,2013-02-07,41.890841457197695,-87.63270627765388,2013,Restaurant
172614,1188496,unlicensed,0.0,restaurant,60645.0,2013-01-29,42.01941677429189,-87.68449834218502,2013,Restaurant
175600,1321538,birrieria aquascalientes,0.0,restaurant,60641.0,2013-01-24,41.93864158190054,-87.7528234779786,2013,Restaurant
178177,1227591,montoya s ice cream,0.0,restaurant,60629.0,2012-09-25,41.78624779326939,-87.69654975568328,2013,Restaurant
183117,1202458,essential healthy living inc ,0.0,restaurant,60632.0,2012-10-10,41.80772734648144,-87.72636656547475,2013,Restaurant
183789,1088210,kenny,0.0,restaurant,60617.0,2012-06-26,41.73869100380115,-87.58510330731285,2013,Restaurant
186961,1150466,the salvation army kroc center,0.0,restaurant,60643.0,2012-06-13,41.67776039309511,-87.65366213755682,2013,Restaurant
192204,1229479,alvaro jimenez,0.0,restaurant,60609.0,2012-06-07,41.81068114659683,-87.6648796277618,2013,Restaurant
193301,1214351,salvation army arc clybourn,0.0,restaurant,60614.0,2012-04-24,41.9228752360221,-87.66636681694519,2013,Restaurant
194884,670575,respect for life,0.0,restaurant,60620.0,2012-02-16,41.75055282036361,-87.64267369127873,2013,Restaurant
3962,1286054,soul gourmet,0.0,restaurant,60621.0,2012-05-04,41.7798631678725,-87.6445278756232,2013,Restaurant
3600,1138931,richard s bar,80209.0,liquor,60654.0,2013-05-07,41.891046484349566,-87.64714988556881,2013,Liquor Store
148043,1199031,irish eyes,44410.0,liquor,60614.0,2013-08-21,41.92775343910253,-87.65177531105877,2013,Liquor Store
155087,1345715,diosa on the river,1975155.0,liquor,60601.0,2013-12-04,41.88694996938017,-87.62836812398149,2013,Liquor Store
155674,1199227,binny s beverage depot,2279270.0,grocery store,60614.0,2013-12-05,41.91346823016767,-87.65503220481568,2013,Liquor Store
155913,1375723,2960 beverage corporation,30782.0,restaurant,60657.0,2013-11-29,41.93617164858792,-87.63693905225722,2013,Liquor Store
155921,1391278,mother s too,47008.0,liquor,60610.0,2013-11-22,41.904041830936535,-87.62925137553839,2013,Liquor Store
156164,1375999,wrongs,2676.0,liquor,60643.0,2013-12-12,41.7114420164893,-87.68191864161031,2013,Liquor Store
156819,1387278,belmonte liquors,7045.0,liquor,60651.0,2013-12-03,41.89507338102242,-87.75076923891397,2013,Liquor Store
156897,1174652,osco drug  2500,2293800.0,liquor,60607.0,2013-12-03,41.864521193743535,-87.63930409963562,2013,Liquor Store
157167,1383295,logan tavern group  llc,2222278.0,liquor,60647.0,2013-12-09,41.92500732368619,-87.68801953359667,2013,Liquor Store
158583,1367430,rothschild liquors,21478.0,liquor,60612.0,2013-12-02,41.88091056340495,-87.70191164071454,2013,Liquor Store
160103,1391297,galleria liqueurs,1068962.0,liquor,60610.0,2013-12-04,41.91084518940228,-87.63455411523205,2013,Liquor Store
161167,1369600,rhine hall,2232877.0,liquor,60612.0,2013-10-10,41.88687433960174,-87.67729605577165,2013,Liquor Store
161255,1305417,el palenque,1474268.0,liquor,60632.0,2013-09-16,41.80007923163306,-87.73319334955318,2013,Liquor Store
161356,1324767,the junction chicago,2245721.0,liquor,60606.0,2013-11-04,41.878531278353606,-87.63942745962717,2013,Liquor Store
161605,1361394,debonair social club,1226806.0,liquor,60622.0,2013-10-08,41.91021618406442,-87.67698445293294,2013,Liquor Store
162307,1387247,tantrik chicago,1974373.0,liquor,60642.0,2013-11-08,41.89566757449822,-87.64777938019307,2013,Liquor Store
162939,1361054,king food   liquor,40321.0,liquor,60621.0,2013-09-19,41.76892629684455,-87.64465599703081,2013,Liquor Store
163606,1343442,la roka corp ,1761.0,liquor,60623.0,2013-09-09,41.8388353981231,-87.71234420552848,2013,Liquor Store
166090,1151430,maria s packaged goods   community bar,2253083.0,liquor,60608.0,2013-07-09,41.8380910532484,-87.65111734631012,2013,Liquor Store
166140,1319705,beacon tap,1681121.0,liquor,60633.0,2013-08-16,41.6535870071101,-87.5460608117465,2013,Liquor Store
166573,1277822,mas o menos lounge,2233068.0,liquor,60622.0,2013-05-06,41.902867714807854,-87.69109787174827,2013,Liquor Store
167199,1235824,independent spirits inc ,2197111.0,liquor,60660.0,2013-06-11,41.99040310845111,-87.66013198125891,2013,Liquor Store
167369,1301087,super mas market,1997806.0,liquor,60609.0,2013-01-03,41.80876545825601,-87.66117010835542,2013,Liquor Store
167462,1072412,mitchell lounge,2184116.0,liquor,60636.0,2013-05-14,41.76832753024063,-87.67389580865591,2013,Liquor Store
167864,1228084,sixty six o one club,697.0,liquor,60636.0,2013-08-02,41.773695811390624,-87.68334439509034,2013,Liquor Store
168017,1336150,the corrib irish pub,2256664.0,liquor,60630.0,2013-06-18,41.9815375874498,-87.76221919812195,2013,Liquor Store
168199,1322542,progress bar,2240697.0,liquor,60657.0,2013-06-11,41.94357316110511,-87.64922664095873,2013,Liquor Store
168340,1285228,central  liquors,24500.0,liquor,60617.0,2012-09-13,41.72836569540381,-87.55081266375262,2013,Liquor Store
168585,1285815,el paisa lounge,9383.0,liquor,60609.0,2012-10-11,41.81148733376705,-87.66976098000471,2013,Liquor Store
168868,1335661,genie s discount liquor   grocery,2073641.0,liquor,60651.0,2013-05-21,41.894805732844496,-87.75759406086019,2013,Liquor Store
170079,1279253,tommy o,2147177.0,liquor,60608.0,2012-10-23,41.83730604737545,-87.6661330516157,2013,Liquor Store
