,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
163243,1360771,GUSI'S PIZZA,0.0,restaurant,2013-09-09,41.702518087781016,-87.55974504990618,2013,Restaurant
164422,1370166,LA MICHOACANA,0.0,restaurant,2013-11-04,41.81416061869724,-87.69453060572629,2013,Restaurant
164669,1151592,TAQUERIA CHILE BRAVO,0.0,restaurant,2013-09-03,41.85133736450854,-87.6783945206964,2013,Restaurant
168304,1146459,ITALIAN PIZZA KITCHEN,0.0,restaurant,2013-07-03,41.90734970710327,-87.64926041452054,2013,Restaurant
172764,1188496,UNLICENSED,0.0,restaurant,2013-01-29,42.01941677429189,-87.68449834218502,2013,Restaurant
173912,1321538,Birrieria Aquascalientes,0.0,restaurant,2013-01-24,41.93864158190054,-87.7528234779786,2013,Restaurant
175470,1138820,LA SALLE POWER CO.,0.0,restaurant,2013-02-07,41.890841457197695,-87.63270627765388,2013,Restaurant
177888,1202458,ESSENTIAL HEALTHY LIVING INC.,0.0,restaurant,2012-10-10,41.80772734648144,-87.72636656547475,2013,Restaurant
180581,1227591,MONTOYA'S ICE CREAM,0.0,restaurant,2012-09-25,41.78624779326939,-87.69654975568328,2013,Restaurant
183933,1229479,ALVARO JIMENEZ,0.0,restaurant,2012-06-07,41.81068114659683,-87.6648796277618,2013,Restaurant
184352,1088227,KENNY,0.0,restaurant,2012-07-18,41.73869100380115,-87.58510330731285,2013,Restaurant
186558,1150466,THE SALVATION ARMY/KROC CENTER,0.0,restaurant,2012-06-13,41.67776039309511,-87.65366213755682,2013,Restaurant
187079,1277227,Herbalife,0.0,restaurant,2012-06-15,41.93117103726046,-87.78143874968808,2013,Restaurant
192111,1214351,SALVATION ARMY ARC CLYBOURN,0.0,restaurant,2012-04-24,41.9228752360221,-87.66636681694519,2013,Restaurant
195110,670575,RESPECT FOR LIFE,0.0,restaurant,2012-02-16,41.75055282036361,-87.64267369127873,2013,Restaurant
3926,1286054,SOUL GOURMET,0.0,restaurant,2012-05-04,41.7798631678725,-87.6445278756232,2013,Restaurant
186805,1229587,NORMA'S MINI STORE,0.0,grocery store,2012-06-13,41.85386830200632,-87.67821915483191,2013,Grocery Store
160526,1360997,"VINCES PIZZERIA & TAQUERIA, INC",0.0,restaurant,2013-09-17,41.99798866563551,-87.66883580355905,2013,Restaurant
3196,1376180,"IRVING PARK KKC, INC",2304021.0,restaurant,2013-12-26,41.95322815649395,-87.77195584555682,2013,Restaurant
3197,1391349,CORNER SHOP INC.,1969213.0,restaurant,2013-12-24,41.96811502066345,-87.7295540103715,2013,Restaurant
3198,1391347,"1st HUNAN SPRING, INC",2303648.0,restaurant,2013-12-23,41.97704126868173,-87.75442838864393,2013,Restaurant
3200,1383325,Stans Donuts,2294414.0,restaurant,2013-12-20,41.90999519941597,-87.67759908709834,2013,Restaurant
3202,1376138,SCOOTER'S FROZEN CUSTARD LLC,1329995.0,restaurant,2013-12-19,41.93977513614047,-87.67097530549955,2013,Restaurant
3203,1151899,BISTRO 180,2298719.0,restaurant,2013-12-18,41.85787654017807,-87.6678994187193,2013,Restaurant
3204,1115191,SUBWAY,1948193.0,restaurant,2013-12-18,41.876797440785374,-87.63325591022408,2013,Restaurant
3206,1199258,RACINE PLUMBING,1383544.0,restaurant,2013-12-16,41.9298423844424,-87.65512664177405,2013,Restaurant
3210,1228355,DINO'S,2184372.0,restaurant,2013-12-09,41.801142796814446,-87.6722882986953,2013,Restaurant
3212,1372302,HOP HAUS,1047059.0,restaurant,2013-12-06,41.89378277737744,-87.6357793413821,2013,Restaurant
3216,1391298,GOLD COAST PIZZA COMPANY,2172610.0,restaurant,2013-12-04,41.903823842447046,-87.62916036215749,2013,Restaurant
3218,1345708,THE SILVERSMITH HOTEL & SUITES,2079886.0,restaurant,2013-12-03,41.88181876616734,-87.62635317290135,2013,Restaurant
3220,1375783,BOSS BAR,2185066.0,restaurant,2013-12-03,41.88990487943944,-87.63122454993453,2013,Restaurant
3222,1345702,PRET A MANGER,2068718.0,restaurant,2013-12-02,41.88323717511991,-87.63255557700788,2013,Restaurant
3225,1375661,PLAZA CAFE,2220619.0,restaurant,2013-11-26,41.8819664487557,-87.64127582547708,2013,Restaurant
3226,1319928,STARBUCKS COFFEE #226,23029.0,restaurant,2013-11-22,41.79965378379031,-87.58904895260531,2013,Restaurant
3228,1324799,STARBUCKS,2083697.0,restaurant,2013-11-20,41.87856015362371,-87.63652387205532,2013,Restaurant
3229,1106992,"AROUND THE WORLD - CHICAGO,INC",2157699.0,restaurant,2013-11-20,42.00014772933609,-87.66084730639686,2013,Restaurant
3231,1372282,Rockit Bar & Grill,1470960.0,restaurant,2013-11-19,41.89016136574744,-87.62884924184334,2013,Restaurant
3235,1367399,GFC,1493459.0,restaurant,2013-11-14,41.90236016276136,-87.7557165080082,2013,Restaurant
3236,1372253,UNDERGROUND WONDER BAR,2147105.0,restaurant,2013-11-07,41.8952317861976,-87.63135889968055,2013,Restaurant
3237,1375261,NEW CHINA BUFFET ENTERPRISES,2032302.0,restaurant,2013-11-07,41.97457747458364,-87.81001297892426,2013,Restaurant
3238,1092711,JERSEY MIKE'S SUBS,2196815.0,restaurant,2013-11-06,41.93918784978456,-87.64451786379803,2013,Restaurant
3239,1391245,MOXIE,21889.0,restaurant,2013-11-06,41.946248889070304,-87.65557735244559,2013,Restaurant
3242,1099264,"ROSCOE-DAMEN, CORP.",2293828.0,restaurant,2013-11-04,41.94332513800031,-87.67851443293753,2013,Restaurant
3243,1370064,AMERICAN AIRLINES,2284295.0,restaurant,2013-10-29,42.008536400868735,-87.91442843927047,2013,Restaurant
